,Reaction 1,Reaction2
610,HMR_8410,HMR_1387
611,TXB2c,HMR_8410
612,HMR_1365,HMR_8410
613,HMR_8410,HMR_1295
614,HMR_8410,HMR_2440
615,HMR_8410,HMR_1155
616,HMR_8410,HMR_1393
617,HMR_8410,HMR_2584
618,HMR_8410,HMR_0934
619,HMR_8410,HMR_0935
620,HMR_8410,HMR_1319
621,HMR_8410,HMR_2441
622,HMR_2623,HMR_2253
623,HMR_8559,HMR_8410
624,HMR_8410,HMR_0933
625,HMR_8410,HMR_1328
626,HMR_0937,HMR_8410
627,HMR_2439,HMR_8410
628,HMR_8410,HMR_1343
629,HMR_8410,HMR_8546
630,HMR_2566,HMR_8410
631,HMR_8410,HMR_1370
632,HMR_8410,HMR_0956
633,HMR_0940,HMR_8410
634,HMR_8410,HMR_6676
635,HMR_2562,HMR_8410
636,HMR_8410,CATr
637,HMR_0981,HMR_8410
638,HMR_8410,HMR_2574
639,RE2768R,HMR_8410
640,HMR_2568,HMR_8410
641,HMR_8410,HMR_1202
642,HMR_1008,HMR_8410
643,HMR_2588,HMR_8410
644,HMR_1023,HMR_8410
645,HMR_1157,HMR_8410
646,HMR_8410,HMR_1064
647,HMR_8410,HMR_1028
648,HMR_1383,HMR_8410
649,HMR_8410,HMR_1098
650,HMR_8410,HMR_2573
651,HMR_8410,HMR_1004
652,HMR_8410,HMR_0948
653,HMR_1061,HMR_8410
654,HMR_8410,HMR_0939
655,HMR_8410,HMR_1062
656,HMR_8410,HMR_1063
657,HMR_8410,HMR_1055
658,HMR_1003,HMR_8410
659,HMR_8410,HMR_1067
660,HMR_8410,HMR_0949
661,HMR_1117,HMR_8410
662,HMR_1068,HMR_8410
663,HMR_1125,HMR_8410
664,HMR_1011,HMR_8410
665,HMR_8410,HMR_0980
666,HMR_0993,HMR_8410
667,HMR_8410,HMR_1313
668,HMR_8410,HMR_2550
669,HMR_1072,HMR_8410
670,HMR_8410,HMR_1113
671,HMR_8410,HMR_1054
672,HMR_1115,HMR_8410
673,HMR_8410,HMR_2548
674,HMR_8410,HMR_1021
675,HMR_8410,HMR_1065
676,HMR_1120,HMR_8410
677,RE3446X,HMR_8410
678,HMR_8410,HMR_0938
679,HMR_1199,HMR_8410
680,HMR_2587,HMR_8410
681,HMR_1006,HMR_8410
682,HMR_8410,HMR_2000
683,HMR_8560,HMR_8410
684,HMR_8410,HMR_1367
685,RE3446M,HMR_8410
686,HMR_8410,HMR_1114
687,HMR_1116,HMR_8410
688,HMR_1124,HMR_8410
689,HMR_8410,HMR_1087
690,HMR_8410,HMR_1097
691,HMR_8410,HMR_2994
692,HMR_1191,HMR_8410
693,HMR_1091,HMR_8410
694,HMR_8410,HMR_1382
695,HMR_1282,HMR_8410
696,HMR_8410,RE3335R
697,HMR_2460,HMR_8410
698,HMR_1321,HMR_8410
699,HMR_8410,HMR_1111
700,HMR_8410,HMR_2567
701,HMR_8410,HMR_1256
702,HMR_8410,HMR_1395
703,HMR_8410,HMR_1347
704,HMR_8410,HMR_2463
705,HMR_8410,HMR_6606
706,HMR_8410,HMR_1374
707,HMR_6680,HMR_8410
708,HMR_2545,HMR_8410
709,HMR_8410,HMR_1350
710,HMR_1338,HMR_8410
711,HMR_1260,HMR_8410
712,HMR_8410,HMR_1297
713,HMR_8410,HMR_1277
714,HMR_1304,HMR_8410
715,HMR_8410,HMR_2570
716,HMR_8410,HMR_1259
717,HMR_1015,HMR_8410
718,HMR_8410,HMR_1253
719,HMR_8410,HMR_1249
720,HMR_8410,HMR_1270
721,HMR_8410,HMR_1299
722,HMR_1107,HMR_8410
723,HMR_1460,IPDDIx
724,HMR_3125,FAOXC16C14m
725,HMR_8410,HMR_1273
726,HMR_1255,HMR_8410
727,HMR_0192,HMR_0748
728,HMR_0284,HMR_0192
729,HMR_8410,HMR_1101
730,HMR_1027,HMR_8410
731,HMR_8410,HMR_1301
732,HMR_2879,HMR_2526
733,HMR_2526,RE3175R
734,HMR_8410,HMR_1230
735,HMR_8410,HMR_1274
736,HMR_1193,HMR_8410
737,HMR_2296,HMR_0748
738,HMR_1108,HMR_8410
739,HMR_8410,RE3526M
740,HMR_8410,HMR_1275
741,HMR_0271,HMR_2292
742,HMR_1278,HMR_8410
743,DMATTx,HMR_1460
744,HMR_2877,HMR_2526
745,HMR_2625,HMR_2253
746,HMR_8410,HMR_1298
747,HMR_8410,HMR_1254
748,HMR_8410,HMR_1366
749,HMR_1303,HMR_8410
750,HMR_2528,RE3175R
751,HMR_2578,HMR_8410
752,HMR_0758,HMR_0192
753,HMR_2324,HMR_2640
754,HMR_2164,HMR_2654
755,HMR_8410,HMR_1261
756,RE3169R,HMR_2528
757,HMR_2585,HMR_8410
758,HMR_2528,RE3174R
759,HMR_1272,HMR_8410
760,HMR_4121,HMR_3982
761,HMR_1262,HMR_8410
762,HMR_8410,HMR_1251
763,RE3169R,HMR_2526
764,HMR_2654,HMR_2159
765,HMR_2528,RE3172R
766,HMR_2328,RE3226R
767,HMR_1276,HMR_8410
768,HMR_1300,HMR_8410
769,RE3225R,HMR_2330
770,HMR_2328,RE3244R
771,HMR_2493,FAEL205
772,HMR_0758,HMR_2295
773,HMR_2328,RE3228R
774,HMR_2326,RE3231R
775,HMR_2328,RE3236R
776,FAOXC180,HMR_3116
777,HMR_2654,HMR_2168
778,DESAT18_3,RE3243R
779,HMR_6393,HMR_8410
780,HMR_1391,HMR_8410
781,RE3452C,HMR_8410
782,HMR_6605,HMR_8410
783,RE3235R,HMR_2326
784,HMR_2281,DESAT14_9
785,HMR_2281,TTDCEAc
786,RE3244R,HMR_2326
787,HMR_2326,HMR_2599
788,HMR_2486,FAEL205
789,HMR_2785,HMR_2526
790,HMR_8410,HMR_6397
791,HMR_2528,RE3170R
792,HMR_2328,RE3235R
793,HMR_2330,HMR_2599
794,HMR_2526,RE3170R
795,HMR_2326,RE3236R
796,HMR_2654,HMR_2158
797,HMR_2785,HMR_2326
798,HMR_2324,HMR_2599
799,RE3234R,HMR_2326
800,HMR_8410,HMR_1271
801,HMR_0264,HMR_0192
802,HMR_4131,HMR_7466
803,HMR_2178,HMR_2819
804,HMR_4131,HMR_4084
805,r1253,HMR_2178
806,GRTTx,HMR_1454
807,HMR_0237,HMR_0753
808,HMR_0192,HMR_0753
809,HMR_7467,HMR_4131
810,HMR_4396,HMR_8367
811,HMR_4775,HMR_4131
812,HMR_4131,HMR_8367
813,HMR_7461,HMR_4131
814,HMR_2296,HMR_0753
815,HMR_1454,IPDDIx
816,DESAT18_9,HMR_2368
817,HMR_2178,HMR_2654
818,HMR_0237,HMR_0332
819,HMR_0237,HMR_10036
820,DMATTx,HMR_1454
821,HMR_0237,HMR_0284
822,HMR_0268,HMR_0237
823,HMR_0615,HMR_0598
