,Reaction 1,Reaction2
769,FACOAL1813,HMR_3633
770,HMR_2733,FACOAL1813
771,HMR_3553,FACOAL1813
772,HMR_2690,FACOAL1813
773,HMR_3643,FACOAL1813
774,HMR_3233,FACOAL1813
775,FACOAL1813,HMR_3231
776,FACOAL1813,HMR_2932
777,HMR_3230,FACOAL1813
778,FACOAL1813,HMR_3595
779,HMR_3660,FACOAL1813
780,HMR_3540,HMR_0349
781,FACOAL1813,HMR_2699
782,HMR_3556,FACOAL1813
783,HMR_3544,FACOAL1813
784,HMR_2672,FACOAL1813
785,HMR_2292,HMR_0337
786,HMR_2788,FACOAL1813
787,HMR_3672,FACOAL1813
788,HMR_0267,HMR_3626
789,FACOAL1813,HMR_3677
790,HMR_2284,HMR_5133
791,HMR_3652,HMR_0267
792,HMR_3630,FACOAL1813
793,FACOAL1813,HMR_2814
794,HMR_2657,HMR_2282
795,HMR_3668,FACOAL1813
796,HMR_3635,FACOAL1813
797,HMR_3665,FACOAL1813
798,HMR_2794,HMR_2284
799,HMR_0520,HMR_7588
800,HMR_2282,HMR_3677
801,HMR_2923,FACOAL1813
802,HMR_2284,HMR_3672
803,HMR_0531,HMR_7588
804,HMR_3546,FACOAL1813
805,HMR_2838,FACOAL1813
806,HMR_2282,HMR_2822
807,HMR_2284,HMR_3572
808,HMR_3588,HMR_0397
809,HMR_2771,FACOAL1813
810,HMR_2669,HMR_0267
811,HMR_2850,FACOAL1813
812,HMR_3254,FACOAL1813
813,HMR_3566,FACOAL1813
814,HMR_3627,FACOAL1813
815,HMR_2848,FACOAL1813
816,HMR_0753,HMR_0349
817,HMR_2526,RE3175R
818,HMR_3671,FACOAL1813
819,HMR_2284,HMR_2834
820,FACOAL1813,HMR_3573
821,HMR_3645,FACOAL1813
822,RE3225R,HMR_2319
823,HMR_3667,FACOAL1813
824,HMR_3569,FACOAL1813
825,HMR_3651,HMR_0267
826,HMR_4156,HMR_7672
827,HMR_2475,RE3106R
828,HMR_0623,HMR_0648
829,FACOAL1813,HMR_2648
830,HMR_3541,HMR_0349
831,HMR_3252,FACOAL1813
832,HMR_3650,FACOAL1813
833,HMR_2150,HMR_2654
834,HMR_3571,FACOAL1813
835,HMR_3553,HMR_2284
836,HMR_3668,HMR_0267
837,HMR_2788,HMR_2282
838,HMR_2292,HMR_0192
839,HMR_3651,FACOAL1813
840,HMR_2836,HMR_2282
841,FACOAL1813,HMR_2903
842,HMR_3632,HMR_2282
843,RE3225R,HMR_2321
844,HMR_2282,HMR_3571
845,HMR_0267,HMR_3580
846,HMR_7588,HMR_0535
847,HMR_2486,HMR_2726
848,HMR_3574,HMR_0397
849,HMR_2899,HMR_2282
850,HMR_2486,HMR_2599
851,HMR_2292,HMR_0297
852,HMR_3230,HMR_0267
853,HMR_3653,FACOAL1813
854,HMR_0544,HMR_7588
855,HMR_3592,FACOAL1813
856,HMR_2785,HMR_2478
857,HMR_3630,HMR_0267
858,r1253,HMR_2153
859,r1253,HMR_2167
860,HMR_3543,HMR_0349
861,FACOAL1813,HMR_2618
862,HMR_0279,HMR_2292
863,HMR_2672,HMR_2284
864,HMR_2292,HMR_0255
865,HMR_2284,HMR_3591
866,HMR_3556,HMR_2284
867,HMR_0267,HMR_2812
868,HMR_3570,HMR_2284
869,HMR_10038,FACOAL1813
870,HMR_2610,HMR_2171
871,HMR_2282,HMR_3573
872,HMR_2633,HMR_3675
