,Reaction 1,Reaction2
424,r0780,HMR_1470
425,r1380,HMR_1470
426,HMR_7461,HMR_4396
427,HMR_4396,HMR_7466
428,HMR_8547,HMR_8410
429,HMR_2549,HMR_8410
430,HMR_8410,HMR_0963
431,HMR_8410,HMR_1249
432,HMR_8410,HMR_2991
433,HMR_4396,HMR_7465
434,HMR_1470,LNSTLSr
435,HMR_1033,HMR_8410
436,HMR_8560,HMR_8410
437,HMR_8410,HMR_1296
438,HMR_1100,HMR_8410
439,HMR_4730,HMR_8410
440,HMR_1255,HMR_8410
441,HMR_8410,HMR_1289
442,HMR_8410,HMR_1291
443,HMR_4396,HMR_7468
444,HMR_1049,HMR_8410
445,HMR_8410,HMR_1287
446,HMR_8410,PMEVKx
447,HMR_7930,HMR_8410
448,HMR_8410,HMR_1037
449,HMR_8410,HMR_1258
450,HMR_1332,HMR_8410
451,HMR_1272,HMR_8410
452,HMR_8410,RE3526M
453,HMR_8410,HMR_7970
454,HMR_0217,HMR_2295
455,HMR_8410,HMR_1271
456,HMR_8410,HMR_1301
457,HMR_8410,HMR_1273
458,HMR_8410,HMR_1274
459,HMR_8410,HMR_8554
460,HMR_8410,HMR_1299
461,HMR_8410,HMR_1373
462,HMR_1303,HMR_8410
463,HMR_8410,HMR_1261
464,HMR_8410,HMR_8545
465,HMR_1193,HMR_8410
466,HMR_8410,HMR_1297
467,HMR_8410,HMR_0958
468,HMR_8410,HMR_1063
469,HMR_1288,HMR_8410
470,HMR_1281,HMR_8410
471,HMR_8410,HMR_7971
472,HMR_8410,RE3476M
473,HMR_8410,HMR_1074
474,HMR_8410,HMR_1374
475,HMR_8410,HMR_1394
476,HMR_1981,HMR_8410
477,HMR_8410,HMR_1389
478,MEVK1x,HMR_8410
479,HMR_8410,HMR_1111
480,HMR_0987,HMR_8410
481,HMR_8410,HMR_7935
482,HMR_8410,HMR_2458
483,HMR_8410,HMR_2457
484,HMR_8410,HMR_1344
485,HMR_8410,HMR_1988
486,HMR_1092,HMR_8410
487,HMR_8410,HMR_1298
488,HMR_8410,HMR_2560
489,HMR_8410,HMR_6647
490,HMR_1034,HMR_8410
491,HMR_1304,HMR_8410
492,HMR_8410,HMR_1275
493,HMR_1048,HMR_8410
494,DPMVDx,HMR_8410
495,HMR_8410,HMR_1343
496,HMR_1133,HMR_8410
497,HMR_8410,HMR_1277
498,HMR_8410,HMR_7801
499,HMR_8410,HMR_6606
500,HMR_8410,HMR_1149
501,HMR_8410,HMR_1067
502,HMR_8410,HMR_0997
503,HMR_8410,HMR_1347
504,HMR_8410,HMR_1021
505,HMR_8410,HMR_0955
506,HMR_1109,HMR_8410
507,HMR_1116,HMR_8410
508,HMR_1197,HMR_8410
509,HMR_1107,HMR_8410
510,HMR_8410,HMR_1341
511,HMR_1157,HMR_8410
512,HMR_8410,HMR_1099
513,HMR_8410,HMR_1195
514,HMR_1338,HMR_8410
515,HMR_8410,HMR_1251
