,Reaction 1,Reaction2
717,HMR_2602,HMR_2911
718,HMR_2702,HMR_2602
719,HMR_2602,HMR_3549
720,HMR_3570,HMR_2602
721,HMR_3633,HMR_2602
722,HMR_2602,HMR_3652
723,C181CPT1,HMR_0369
724,HMR_2602,HMR_3541
725,HMR_2921,HMR_2602
726,HMR_2927,HMR_2602
727,HMR_2856,HMR_2602
728,HMR_0293,C181CPT1
729,HMR_2602,HMR_3539
730,HMR_2602,HMR_3573
731,HMR_2602,HMR_3568
732,HMR_2602,HMR_2932
733,HMR_2602,HMR_2917
734,HMR_3660,HMR_2602
735,C181CPT1,HMR_0297
736,C181CPT1,HMR_0385
737,HMR_2602,HMR_3658
738,HMR_0209,C181CPT1
739,HMR_3546,HMR_2602
740,HMR_3653,HMR_2602
741,HMR_2602,HMR_3630
742,HMR_3636,HMR_2602
743,HMR_3563,HMR_2602
744,HMR_4806,HMR_4418
745,HMR_2602,HMR_3543
746,HMR_3594,HMR_2602
747,HMR_3581,HMR_2602
748,HMR_2602,HMR_2651
749,HMR_3558,HMR_2602
750,HMR_3584,HMR_2602
751,C181CPT1,HMR_0233
752,HMR_10036,HMR_3661
753,HMR_2822,HMR_2602
754,HMR_3631,HMR_2602
755,HMR_0373,C181CPT1
756,HMR_4418,HMR_4804
757,HMR_3625,HMR_10036
758,HMR_3577,HMR_2602
759,HMR_2602,HMR_2903
760,HMR_2874,HMR_2602
761,HMR_4418,HMR_4802
762,HMR_2785,HMR_2486
763,HMR_2486,RE3121R
764,HMR_2602,HMR_2908
765,HMR_2489,RE3121R
766,HMR_0337,C181CPT1
767,C181CPT1,HMR_0353
768,HMR_2602,HMR_2790
769,HMR_4418,HMR_4814
770,HMR_2154,r1253
771,HMR_2486,RE3119R
772,HMR_2633,HMR_2923
773,C181CPT1,HMR_0241
774,HMR_2489,RE3122R
775,C181CPT1,HMR_0327
776,HMR_2489,RE3120R
777,HMR_4406,HMR_4418
778,HMR_3670,HMR_2633
779,HMR_2599,HMR_2489
780,HMR_2771,HMR_2602
781,HMR_2785,HMR_2489
782,HMR_2486,HMR_2866
783,HMR_4418,HMR_4038
784,HMR_2602,HMR_3646
785,HMR_2848,HMR_2602
786,HMR_2599,HMR_2486
787,HMR_2852,HMR_2602
788,HMR_10036,HMR_2669
789,HMR_2607,HMR_2248
790,HMR_2486,RE3120R
791,HMR_2633,HMR_3644
792,HMR_2788,HMR_2602
793,HMR_2419,RE3167R
794,HMR_2852,HMR_10036
795,HMR_2785,HMR_2528
796,RE3174R,HMR_2528
797,HMR_2633,HMR_3664
798,HMR_4418,HMR_4799
799,RE3231R,HMR_2317
800,HMR_3572,HMR_2602
801,HMR_2602,HMR_2681
802,HMR_3669,HMR_2633
803,RE3176R,HMR_2528
804,HMR_2982,HMR_2169
805,HMR_2528,RE3173R
806,HMR_2528,RE3175R
807,HMR_3676,HMR_10036
808,HMR_2486,RE3122R
809,HMR_3669,HMR_10036
810,RE3112R,HMR_2480
811,HMR_2419,HMR_2752
812,HMR_3676,HMR_2602
813,HMR_2862,HMR_2169
814,HMR_5141,HMR_2602
815,HMR_2489,HMR_2866
816,HMR_10036,HMR_2708
817,RE3166R,HMR_2415
818,HMR_5130,HMR_10036
819,HMR_2489,RE3119R
820,RE3232R,HMR_2315
821,HMR_3586,HMR_10036
822,RE3228R,HMR_2305
